hero1,value
GHAUR [DEVIANT],186
GHOST,46
GHOST GIRL II/LILLI,77
GHOST GIRL/,3
GHOST RIDER II/JOHNN,443
GHOST RIDER III/DAN ,428
GIBBON/MARTIN BLANK,26
GIDEON,171
"GIDEON, CLAIRE",9
"GIDEON, GREGORY HUNG",15
GIGANTO,14
GIGANTUS,8
GIL,2
"GILBERT, PROFESSOR G",5
"GILBERT, ROXANNE",70
"GILBERTI, ROSE",7
"GILLISPIE, ANDREW AN",22
GIN GENIE/BECKAH,3
GLABOO,68
GLADIATOR II,298
GLADIATOR/MELVIN POT,96
GLADIATRIX,10
GLAMOUR GIRL/GLORIA,26
"GLAZER, FAST FREDDY",4
"GLEASON, KAREN",7
GLEEG,1
"GLENN, HEATHER",138
GLITCH/CHARLES J. AM,6
GLITTER/,9
GLOB/DR. SUMNER BECK,4
GLOM,22
GLORIAN/THOMAS GIDEO,40
GLORIOLE,1
GLOUCESTER,1
GLUB,50
"GNUCCI, MA",23
GO-DEVIL/GO ISHIMORI,20
GOBLYN,182
GODSTALKER,17
GODWULF,1
GOG,37
GOG II,7
GOG III,23
GOGO TAMAGO/,20
GOLD,24
GOLDBUG,24
GOLDDIGGER,83
GOLDEN ARCHER II/WYA,143
GOLDEN GIRL/GWENNY L,27
GOLDEN-BLADE,34
GOLDFIRE/AMEIKO SABU,79
GOLDIELOCKS/,7
GOLEM III,3
GOLEM/JACOB GOLDSTEI,10
GOMURR,9
"GONZALEZ, RAYMOND",3
GOOM,1
"GOONER, MELVIN",8
GORGEOUS GEORGE,15
GORGILLA,25
GORGON [INHUMAN],1136
GORGON | MUTANT X-VE,22
GORILLA-MAN,7
GORN,9
GORNKAI,19
GOROTH,13
GORR,20
GOSAMYR,80
GOTH,13
"GOTTFRIED, WILLIS",4
"GOULDING, DR.",3
"GOYER, SAUL",11
GRACE,39
GRAND OVERSEER,15
GRANDE DAME,15
GRANDMASTER/EN DWI G,200
GRANITOR,11
"GRANT, DONALD",3
"GRANT, GATOR",3
"GRANT, GLORIA GLORY",528
"GRANT, MARY MEEKS",17
"GRANT, PHILLIP",22
"GRANT, SILAS",87
"GRANT, SILAS II",3
GRAPPLER,15
GRASP,25
"GRASSWIND, Z'OOFREY",18
GRAVEMOSS,12
GRAVITON/FRANK HALL,139
"GRAY, CHARLES",21
"GRAY, SGT.",14
"GRAZIA, VINCENT VINN",1
GREASY,30
GREEN GOBLIN III/BAR,42
GREEN GOBLIN IV/PHIL,83
GREEN GOBLIN V/,56
GREEN GOBLIN | MUTAN,28
GREEN GOBLIN/NORMAN ,462
"GREEN, ARNIE",8
"GREEN, JAMES",6
"GREEN, LILA",12
GREENSONG,39
"GREER, DAVID",12
"GREER, GABRIELLE",16
GREGOR,42
"GREICO, LINDA",2
GREMLIN/,90
GRENDEL'S MOTHER,9
GRESIG,5
GREY GARGOYLE/PAUL P,137
GREY KING/ADDISON FA,26
"GREY, DR. JOHN",225
"GREY, ELAINE",185
"GREY, JEAN | MUTANT ",75
GREYSTONE/BRIAN YOUN,21
GRID,4
GRIEFSAVOR,2
GRIFFIN II/JOHNNY HO,79
"GRIFFITH, D.W.",64
GRIM HUNTER/KRAVINOF,23
GRIM REAPER/ERIC WIL,176
"GRIMM, BEN | EARTH-A",23
"GRIMM, BEN | MUTANT ",18
"GRIMM, BEN | TIMESLI",9
"GRIMM, JAKE",9
"GRIMM, PETUNIA PENNY",10
"GRIMM, SUE STORM EAR",12
"GRIPPO, BILLY",1
GRIS-GRIS,66
GRIZZLY II/THEODORE ,45
GRIZZLY/MAXWELL MARK,45
GROK,48
GRON,3
GRONK,67
"GROSS, CLIFFORD",2
"GROSS, IRA",4
GROTESK,23
GROTTU,3
GROUNDHOG/SEAN BENAR,2
GROVEL,40
"GROVES, GEN. MCALLIS",14
GROWING MAN,53
"GRUENWALD, MARK",2
"GRUNCH, ALESTAIRE FI",19
GRUX,3
GRYPHON/COMMANDER EK,13
GUARDIAN III,1
GUARDIAN IV,14
GUARDIAN V/JAMES MAC,184
GUARDIAN | MUTANT X-,10
GUARDIAN/JAMES MACDO,578
GUARDSMAN/KEVIN O'BR,42
GUDRUN [ASGARDIAN],46
GUILOTINE,15
GUINNESS,2
GULADKIN,6
GULLIN,40
GULLO,11
"GUNDERSON, COL. ROLA",11
GUNSHIP/CARY ROUNTRE,2
GUNTHAR,10
GUNTHAR II,82
"GUNTLY, DAVID",3
"GUTHRIE, JOELLE",6
"GUTHRIE, JOSH",15
"GUTHRIE, LUCINDA",13
"GUTHRIE, LUKE",2
"GUTHRIE, TYLER",12
GYPSY MOTH,134
GYRE,22
"GYRICH, HENRY PETER",548
"GYRICH, HENRY PETER ",11
HAAG,14
HACK/,8
"HADDOCK, DR. MYRA",56
HAFNIUM,53
HAG/,30
"HAGER, GENERAL",7
"HAGGERT, BOB",29
HAIRBAG/SUGGS,39
"HALBERG, DONALD",11
"HALDEMAN, CALVIN",2
"HALE, JONAS",60
"HALE, NAN",19
"HALE, TOM",15
HALF-FACE,4
"HALFTREE, HORACE",7
"HALL, MORGAN",11
"HALLER, GABRIELLE",158
HALLOWEEN JACK,4
HAMES,45
"HAMID, SHEIK",33
"HAMILTON, JEROME",23
"HAMILTON, MICKY",20
"HAMILTON, PAUL",5
HAMIR,24
HAMMER II/,7
HAMMER III/EISENHOWE,11
HAMMER IV/,18
"HAMMER, JUSTIN",208
HAMMER/LEROY JACKSON,9
HAMMERHAND,28
HAMMERHAND II/BRON,36
HAMMERHEAD,235
"HANCOCK, CALISTA",6
HANGMAN,27
HANGMAN II/JASON ROL,39
"HANRAHAN, GORDON",8
"HANRAHY, JIM",7
HANRANSHA/ASAHI,4
"HANSEN, BILLY",6
HARBINGER,21
HARD BOILED HENWY,25
HARDBALL,18
HARDCASE/HAROLD HARR,32
HARDCORE/,25
"HARDERMAN, QUENTIN",31
HARDRIVE,126
HARDWIRE/,10
"HARDY, LYDIA",12
"HARDY, MORGAN MACNEI",5
"HARDY, STAN",6
HARGEN,30
"HARGROVE, ELIAS",21
"HARKER, QUINCY",70
"HARKNESS, AGATHA",707
HARMONY,7
HARNESS/ERIKA BENSON,70
HAROKIN [ASGARDIAN],80
HARPOON,175
HARPY II,7
HARQUIS TEY,22
"HARRAS, BOB",9
HARRIER,3
"HARRIGAN, CHESTER CH",3
"HARRIGAN, PATRICIA P",11
"HARRINGTON, PRINCIPA",1
"HARRIS, BERNARD",10
"HARRIS, CHRISTINE",25
"HARRIS, EDDIE",48
"HARRIS, MONROE",16
"HARRISON, COL. EDWAR",9
"HARROW, DR. JONAS",26
HARVEST II,7
HARVEST/CHI LO,94
"HARVEY, SUE",8
"HASARD, SAMANTHA",18
HASSAN,1
"HASTINGS, PROF. LOUI",21
HATCHET MAN/HACHIMAN,8
HATCHET-9,3
"HATCHWAY, VERNON",42
HATE,94
HATE-MONGER II,6
HATE-MONGER IV,12
HATE-MONGER V,20
HATE-MONGER/ADOLF HI,29
"HATORI, DESMOND",6
HAUPTMAN,5
HAUPTMANN DEUTSCHLAN,50
HAUPTMANN ENGLAND,43
HAUS,10
HAV-ROGG,8
HAVEN/RADHA DASTOOR,10
"HAVERSHAW, ANDREA",1
HAVOK | MUTANT X-VER,3
HAVOK/ALEX SUMMERS ,2032
HAWK,4506
HAWKEYE DOPPELGANGER,57
HAWKEYE | MUTANT X-V,16
"HAWKINS, DR. EDWIN E",13
HAWKSHAW,47
"HAWLEY, PAMELA",3
HAYDEN,13
HAYWIRE/,96
HAZARD/CARTER RYKING,21
HEADCASE,34
HEADGEAR/,22
HEADHUNTER/,22
HEADLOK,22
HEADMISTRESS/,19
HEALER,37
HEAT-RAY/,2
HEATER DELIGHT,4
HECATE,3
"HECK, DON",10
HECTOR,1
HECTOR II,131
"HEDERMAN, LOTTIE",5
HEDRON,15
HEIMDALL [ASGARDIAN],736
HELA [ASGARDIAN],403
HELIO,72
HELIUM,9
HELIX II,10
HELIX/RAFAEL CARAGO,85
HELKOOKY,7
HELL-EYES,3
HELLCAT/PATSY WALKER,788
HELLEN,25
"HELLER, DR. JOSEPH",5
"HELLER, ERIC",10
HELLFIRE/MIKAL DRAGO,7
HELLRAZOR,11
HELLSCOUT/KENNETH TE,6
HELLSPAWN,3
HELLSTORM DOPPELGANG,1
HELLSTORM/DAIMON HEL,434
"HELLSTROM, VICTORIA",2
HEMINGWAY,43
"HENCKEL, MARIA",15
"HENDERSHOOT, COLONEL",5
"HENDERSON, CAROL",8
"HENRY, JOHN",20
"HENSHAW, CURTIS",4
HEPHAESTUS,25
HERA/AUGUSTINE JONES,53
HERCULES DOPPELGANGE,115
HERCULES [GREEK GOD],2614
HERMES [GREEK GOD],115
HERMOD [ASGARDIAN],126
HESCAMAR/MARNOT [ASG,54
"HESSLER, WOLFGANG",9
HETH'SA,4
HEX/DOMINIC DESTINE,18
"HEYWERTH, GENERAL",39
"HIBBERT, ELLEN",9
"HIBBERT, HOPE",37
"HIDALGO, DETECTIVE J",24
"HIGGINS, JANE",4
"HIGGINS, RICHIE",3
"HIGGINS, SAMUEL",59
HIGH EVOLUTIONARY/HE,481
HIGH OVERLORD,38
HIGHNOTE/RAOUL HERNA,53
HIJACKER,47
HILARY,19
"HILDEBRANT, DR.",2
HILDEGARDE [ASGARDIA,200
HILDY [ASGARDIAN],204
"HILL, GEORGE",3
"HILLIARD, JACOB",2
"HINDS, PATRICK",3
HINDSIGHT LAD/CARLTO,187
HINKLEY,4
"HINKLEY, ADMIRAL",7
HIPPOLYTA [GREEK GOD,32
HIRO,16
HIROMITSU,34
"HITCHUCK, KELLY",16
"HITLER, ADOLF",80
HITMAN/LT. BURT KENY,15
HO TI,1
HO YINSEN,10
"HO, LI MUAN",32
"HOARD, JOSH",9
HOARFEN,11
HOARFROST/,31
"HOBBS, DET.",2
"HOBBS, HARRIS",65
HOBGOBLIN,128
HOBGOBLIN II/RODERIC,179
HOBGOBLIN III/LEFTY ,7
HOBGOBLIN V/JASON PH,358
"HOCHBERG, ROGER",39
HODER [ASGARDIAN],37
"HODGE, CAMERON",242
HOFFMAN,4
"HOFFMAN, ALICE",6
"HOGAN, HAROLD J. HAP",395
"HOGAN, VIRGINIA PEPP",421
"HOGARTH, JERYN",128
HOGGOTH,18
HOGUN [ASGARDIAN],1447
HOGUN | MUTANT X-VER,12
"HOLDEN, DR. SAMUEL",79
"HOLDSWORTH, PARKER",11
"HOLIDAY, JORDAN",21
"HOLKAR, DR. SHYAM",7
"HOLLISTER, SHERIFF",5
HOLLYWOOD,1
HOLOCAUST,97
HOLY/FATHER HECTOR R,17
"HONDA, DR.",2
HONEY LEMON/,21
"HONIKAWA, SHO",7
HOOPSNAKE/,30
HOPE,18
"HOPKINS, STEVE",119
"HORTON, DOUGIE",4
"HORTON, PROFESSOR PH",43
HORUS [EGYPTIAN GOD],41
"HOSEK, BULL",4
HOTAMITANIO,7
HOTSHOT/LOUIS,81
HOUND,38
HOUSE OF SHADOWS,4
"HOUSTON, LT. COMMAND",1
"HOUSTON, STELLA",33
HOWARD THE DUCK,126
"HOWARD, PROFESSOR MA",29
HOWLER II/ZED,15
HOWLER/LUKE GARROW,11
"HOYT, TONY",4
HRILL,12
HRIMHARI,88
"HSU, CHEN",47
"HU, DR.",8
"HUDDLESTON, PROF.",4
"HUDSON, HEATHER",1142
"HUDSON, JAMES | MUTA",16
HUGIN,39
"HUGO, CAPTAIN EDVARD",8
HULK DOPPELGANGER,15
HULK DOPPELGANGER II,98
HULK III/BRUCE BANNE,62
HULK IV,6
HULK ROBOT,37
HULK | MUTANT X-VERS,29
HULK/DR. ROBERT BRUC,3648
HUMAN ROBOT,5
HUMAN TOP/DAVEY MITC,16
HUMAN TORCH ANDROID/,654
HUMAN TORCH DOPPELGA,88
HUMAN TORCH/JOHNNY S,4970
HUMBUG/PROF. B. MITT,9
HUMP/,15
HUMUS SAPIEN,15
HUNCH,53
HUNGER,6
HUNGYR,6
HUNKIR,23
"HUNT, JERRY",23
"HUNT, ROBERTA",3
HUNTARA/MARY ELIZABE,187
HUNTER IN DARKNESS,35
"HUNTER, IAN",9
"HUNTER, LANCE",2
"HUNTER, STEVIE",222
HUNTER/JAEGER,7
HUNTSMAN,14
"HURDLER, THOMAS",4
HURRICANE II,7
HURRICANE III,33
HUSK/PAIGE GUTHRIE,541
HUSK/PAIGE GUTHRIE |,15
HUSSAR,134
"HUXLEY, DR. ALDA",108
"HUXLEY, DR. HORATIO",100
HYBRID/JAMES JIMMY M,27
HYDROMAN/MORRIE BENC,220
HYDRON,33
HYENA/HENRY MORTONSO,8
HYNNIT,3
HYPERION,393
HYPERION II,79
HYPERSTORM,40
HYPERTRON II/STURDEV,1
HYPERTRON/CHESTER,2
HYZAKTL,18
I.Q./ISHMAEL QUESTOR,13
ICE PRINCESS/,87
ICE WORM,4
ICE-MAN | MUTANT X-V,184
ICEMAN DOPPELGANGER,25
ICEMAN/ROBERT BOBBY ,3271
ICEMASTER/,58
"ICHIHARA, SHIGERU",5
ICON/DR. U'MBAYA A'K,10
ICONOCLAST,5
IDNAR,5
IDRIS,5
IDUNA,9
"IGOE, MAX",6
IGOR,166
IKARIS | MUTANT X-VE,3
IKARIS/IKE HARRIS [E,329
IKARYS,2
IKONN,8
IKTHON,28
"IMMORTUS, MARCUS",33
IMP/PANDORA DESTINE,12
IMPACT/,9
IMPALA/,64
IMPOSSIBLE MAN,159
IMPOSSIBLE WOMAN,17
IMPULSE,85
IMPULSE II/DWIGHT HU,63
IN-BETWEENER,93
INAZUMA,11
INDECH,23
"INDIGO, ODYSSEUS",45
INDIUM,31
INERTIA/,3
"INES, DR. DIDIER",5
INFECTIA/JOSEPHINE,41
INFERNO,2
INFERNO II/JOSEPH CO,25
INFERNO III/SAMANTHA,57
INFINITY,12
INFINITY II,93
INFINITY THRALL,1
INFOMORPH,6
INGOT/,14
INNARDS,6
INNOCENT,9
"INSHALLAH, KHALID",54
INSOMNIA/,15
INTEGER,18
INTELLIGENTSIA,17
INTERLOPER,51
INVISIBLE WOMAN DOPP,60
INVISIBLE WOMAN/SUE ,4723
ION/,53
"IONELLO, JASON",131
IREZUMI/,18
IRIDIA [INHUMAN],47
IRON,46
IRON CROSS/HELMUT GR,85
IRON FIST H'YLTHRI I,20
IRON FIST | MUTANT X,21
IRON FIST/DANIEL RAN,1008
IRON GIANT MAN | MUT,19
IRON MAIDEN II/,17
IRON MAIDEN/,86
IRON MAN ARMOR,5
IRON MAN DOPPELGANGE,219
IRON MAN III/EDDIE M,40
IRON MAN IV/JAMES R.,1088
IRON MAN V/TEEN TONY,152
IRON MAN/TONY STARK ,5850
IRONCLAD,98
"IRONWOOD, CISSY",7
ISAAC,144
ISBISA/DR. SANDERSON,9
"ISHIHARA, ZOE",27
"ISHIMA, DAVID",59
ISIS,14
"ISLEY, LYNN",2
IT,24
"ITOBU, DR. JOSHUA",1
ITZAMNA,8
"IVANOVA, ELENA",25
IVORY/,44
IZANAMI,26
IZANAMI II,19
IZZIFIZZ,42
JACK,13
JACK FLAG/,71
JACK FROST/,63
JACK O'DIAMONDS,13
JACK O'LANTERN II/MA,117
JACK OF HEARTS/JACK ,365
JACK SERIOUS/DR. JOH,7
JACKAL II/WARREN,7
JACKAL/MILES WARREN,173
JACKHAMMER,25
JACKKNIFE/JACK COLE,10
"JACKSON, ANDREW JOCK",120
"JACKSON, BRENT",22
"JACKSON, CELIA",29
"JACKSON, CURTISS",62
"JACKSON, STEVE",79
"JACOBS, BEN",5
"JACOBS, GLENDA",20
"JACOBY, KYLE",2
JADE DRAGON/DEI GUAN,61
JAGATAR,10
JAGGED BOW/,7
JAGRFELM [ASGARDIAN],38
JAHF,31
JAILBAIT/JESS,83
JAKAL,21
JAKAR,19
"JAKES, JUDSON",14
JAM/JASMINE ARCHER,34
JAMEEL,9
JAMEKA,18
"JAMESLEY, ALOYSIUS R",9
"JAMESON, COL. JOHN ",627
"JAMESON, J. JONAH",2791
"JAMESON, MARLA MADIS",402
JAMIL,17
"JANES, FATHER MICHAE",27
"JANSON, DR. ANDREA",7
JANUS,15
JANUS II,10
JARA,3
JARDINE,16
"JARDINE, AMANDA",4
JARELLA,29
"JARMAN, TOMMY",1
"JARVIS, EDWIN ",2677
"JARVIS, EDWIN | TIME",16
"JARZINHO, COL. EDSON",65
JASMINE,2
JASON,44
JASON II,39
JAVELIN II/DARIN JR.,34
JAVELIN/DARIN,8
JAVITZ,6
JAWBREAKER/,40
"JAYE-FIRESTONE, GING",61
"JEFFERSON, DR.",3
"JEFFRIES, DR.",37
"JEFFRIES, MAGGIE ",5
JEKUAKKEKT,3
"JELLA, PRIVATE",11
JEMIAH,47
"JENKINS, WALTER",14
"JENNINGS, JOSEPH",22
JENSKOT/ALIYA,9
"JERICHO, DUNCAN",12
"JERICHO, JUSTINA",5
"JEROME, JASON",20
"JESSUP, DR.",2
JESTER II,29
JESTER III,16
JESTER/JONATHAN POWE,37
JET-BLACK/,12
JETSTREAM/HAROUD IBN,110
JEXIA,2
JIGSAW,27
JIKEKT,14
JILL,40
"JILLETE, RANDI",12
JINKU,48
JINX,64
JIOMO,6
JOCASTA,401
JOCASTA II,21
JOHNNY APPLESEED/JON,19
"JOHNSMEYER, JAMES",13
JOHNSON,17
"JOHNSON, ANNA",28
JOLT/HALLIE TAKAHAMA,425
"JONES, ANDY",4
"JONES, ARMAND",2
"JONES, AUGUSTINE",18
"JONES, BART",43
"JONES, CHARLOTTE",192
"JONES, DANIEL DANNY",82
"JONES, DRUCILLA",7
"JONES, GABE",359
"JONES, HUGH",84
"JONES, JANIS",80
"JONES, JOHN",6
"JONES, KATIE",9
"JONES, LORRAINE LORR",82
"JONES, LOUISE",16
"JONES, MAGGIE",27
"JONES, MARLO CHANDLE",316
"JONES, NELL",64
"JONES, PHILLIP",1
"JONES, RICARDO",3
"JONES, RICHARD MILHO",1392
"JONES, SANDY",23
"JONES, TAMMY ANNE",69
"JONES, TIMOTHY",26
"JONES, WALTER",15
"JONES, WILLIAM",8
JONIN,73
"JORDAN, HAL",5
JORNICK,6
JORRO,10
JOSEPH,341
"JOSEPH, SHEVA",43
"JOSHUA, DR. SEGISMUN",70
"JOSTEN, CARL",8
"JOSTEN, LINDY",6
JOUST,11
JOVAN,12
JOYBOY,95
"JOYCE, SAMANTHA",101
JOYSTICK/JANICE,95
JUBILEE/JUBILATION L,1213
JUDE,4
JUDGE KRAY-TOR,15
JUGGERNAUT | MUTANT ,12
JUGGERNAUT/CAIN MARK,397
JUNCTION,22
JUNIPER,20
"JUNIPER, JONATHAN JU",4
JUPITER,29
JURIAS,6
JUSTICE II/VANCE AST,1003
JUSTICE PEACE,22
JUSUR,10
JUTTA,7
JUVAN,56
JYX,22
"JZEMLICO, WARDEN",1
K'AD-MON,5
K'RIN,8
K'RK [SHI'AR],35
KA-ZAR/KEVIN PLUNDER,617
KAA,5
KABALLA,4
"KAFKA, DR. ASHLEY",149
KAINE,227
"KAISHEK, GOM",3
"KAISHEK, HAAN",8
"KAISHEK, KIA",10
"KAISHEK, YOLYN",4
KALA,50
KALADAR [SHI'AR],3
"KALE, JENNIFER",38
"KALE, NAOMI",7
KALI,7
KALIKYA [INHUMAN],20
KALIN KARTH KITH,11
KALMARI,2
KAMAL,30
KAMIKAZE,82
KAMINARI,15
KAMO THARNN,39
KANDRA,4
"KANE, LARRY",2
"KANE, MARCY/KAINA",100
"KANE, SUGAR",4
KANGAROO II/,43
KANGAROO/FRANK OLIVE,1
"KANNOR, ORLANDO",35
"KAPPELBAUM, MRS.",18
KAREL,1
KARGUL,9
"KARIM, MERYET",11
KARIMA,2
KARKAS [DEVIANT],288
KARKAS | MUTANT X-VE,26
"KARLSON, KAREN",8
KARMA 2013,8
KARMA/XI'AN COY MANH,442
KARNAK DOPPELGANGER,22
KARNAK [INHUMAN],913
KARNAK | MUTANT X-VE,12
KARNILLA [ASGARDIAN],509
KARNIVOR,3
KARSANO,3
KARYGMAX,7
KASEMA,3
KASPIN,34
KASTYX,6
KATANA/,13
KATAR,15
KATH,34
KATHAR,7
KATOS,15
KATSU'TA'RO,5
KATU,5
KATYUSHA/,14
"KATZENBERG, NICK",223
"KAUR, BENAZIR",5
"KAZAKI, SHINJI",3
KAZE,18
KEATON,10
KEEPER OF THE COMICS,6
KEERG,5
KEEVER,4
KEKA' AKELUAK,7
"KEL, JANOTH",2
"KELLOG, SHERIFF L.B.",1
"KELLY, KAREN",9
"KELLY, SARA",15
"KELLY, SEN. ROBERT E",225
"KEMBLE, DR.",11
"KEMEL, MEHMET",27
"KEMPLETON, PROFESSOR",1
"KENNEDY, LOUISE",11
"KENT, CLARK",124
KEREM,3
KERIVAK,11
KESTRUS,4
"KETCH, BARBARA",12
"KETCH, DORIS AUDRA",86
KEY/,30
KHADIJAH,15
KHAN,2
"KHANDRUVITCH, DR. VA",34
KHAT,5
KHATYLIS,1
KHIRN,11
KHOON,6
KHORYPHOS [ETERNAL],99
KICKBACK/RICHARD,12
KID COLT,46
KID COLT II/ELRIC FR,17
KID QUARRY,2
KID REAPER,26
KID/E.B. FARRELL,1
KIKO,16
"KILGREW, BASIL BETA ",6
"KILGREW, GERARD",5
"KILLBREW, DR.",15
"KILLBURN, MACK",14
"KILLDRAGON, HARMONY",3
KILLER CLOWN,1
KILLER SHRIKE/SIMON ,37
KILLIAN,26
"KILLMONGER, ERIC/N'J",107
KILLOBYTE,20
KILLRAVEN/JONATHAN R,83
KILMER,29
"KIMBLE, DR.",8
"KINCAID, DR. JANE FO",606
"KINCAID, DR. KEITH",218
"KINCAID, JIMMY",31
"KINCAID, MOSES",24
"KINE, BENEDICT",3
KING (OF THE SEWER P,28
KING BEDLAM/CHRISTOP,34
KING CADAVER,9
KING GEORGE VI,10
"KING, HANNIBAL/HENRY",75
"KINGMAN, BILL",19
KINGO SUNEN [ETERNAL,78
KINGPIN/WILSON FISK,889
KINGSIZE,1
"KINGSLEY, DANIEL",77
KINLAN KARTH KITH,8
"KIRBY, JACK",70
KIRIGI,9
KIRIN,12
KIRKEGAARD,8
KISMET/J'RIDIA STARD,180
"KITAGOWA, DR. KITTY",8
KITANG,10
"KITCHENER, CHIEF INS",1
KLAER,14
KLAW/ULYSSES KLAW,427
"KLEB, ROSA",16
"KLEIN, CAMERON",14
"KLEIN, SHIRLEY",19
"KLEIN, STANLEY",5
"KLEIN, SUMMER",1
"KLEINFELDT, LORNA",31
"KLEINSTOCK, HARLAN",115
"KLEINSTOCK, SVEN",110
KLIGGER/SEN. EUGENE ,32
"KLINE, MR.",25
"KLOSS, BERNARD",3
KNAVE,19
KNICK KNACK,32
KNIGHT ERRANT II,15
KNIGHT ERRANT/MATSON,6
"KNIGHT, LEO",12
"KNIGHT, MISTY",548
KNIGHT/MALCOLM KNIGH,17
"KNOBLACH, GERTRUDE H",10
"KNOBLACH, GLORIA",8
"KNOBLACH, HANS",7
KNOCKABOUT/,22
KNOCKOUT,60
"KNUTZ, CINDY",7
KO'ICHI,18
KO-GAR,17
"KOENIG, ERIC",64
KOFI [KYMELLIAN],122
KOJIRO,2
"KOLE, JOHN",1
"KOLE, MICHELLE",5
KOLOMAQ,1
KOMODO,8
"KONIEV, DMITRI",13
"KONIEV, IRINI",19
KONO,3
"KOPPISCH, DR. ERIC",8
KORATH THE PURSUER,42
KORREK,16
"KORVAC, MICHAEL",147
KOSHIMA,1
"KOSINSKI, HARLEY",11
"KOWALSKI, TRISH",4
KRAA,4
"KRAFT, DONNA",2
KRAGAR,5
KRAGG,3
"KRAGG, GEN.",5
KRAKEN,13
KRAKOA,28
"KRAMER, KENNY",50
"KRAMER, STACEY",78
KRANG II,1
KRANG [ATLANTEAN],61
"KRAUS, DR. FREIDERIC",34
KRAVEN THE HUNTER II,48
KRAVEN THE HUNTER/SE,174
"KRAY, D'VON",4
"KREA, BRUNO",52
KREDDICK,74
KREE CAPTAIN AMERICA,9
KREE GIANT MAN [KREE,2
KREE IRON MAN [KREE],5
KREE SCARLET WITCH [,11
"KREIGER, SIMON",16
"KREIGKOPH, GEN.",3
"KRIEGHUND, COL.",9
KRISTA,65
KRISTOFF/KRISTOFF VE,260
KRIVEN,10
KRO [DEVIANT],250
KRONITT,6
KRONOS,101
KROTOK,5
KRUEGER,55
KRUEL/VICTOR KRUELLE,19
KRUELLA,3
"KRUMA, TALIA",53
KRUSH,6
"KRYPT, DR.",5
"KRYZEWSKI, LEONARD M",18
KUBIK,34
KUKULCAN/VIRAKO/QUET,34
KULAN GATH,34
KURAGARI,10
"KURASOV, SIMYON BORI",23
"KURLYCHEK, PATTY",1
KUROKO/,50
"KUROV, WASSILY",12
KUROYAMA,5
KURRGO,3
KURSE/ALGRIM [ASGARD,125
"KUTUZOV, COL.",4
"KWAN, TERRY",24
KWANNON,1
KYLUN/COLIN MCKAY,123
KYMRI,20
KYSA,2
L'KLEKK'TAK,1
LA BANDERA,4
LA NUIT,8
LACE/,3
"LACOSTE, RAE",74
"LADONNA, HOLLY",44
LADY DEATHSTRIKE/YUR,132
LADY LARK/LINDA LEWI,255
LADY LOTUS,32
LADY OF THE LAKE,26
"LAMBERT, WILSON",13
LAMENT/,1
"LAMY, KELLY",12
"LANCELOT, SIR",2
LANCER/SAMANTHA DUNB,42
LANDA,10
"LANDERS, DR.",4
"LANDERS, GENA",66
"LANDERS, RAY",41
"LANDERS, RICKY",24
LANDSCAPE/BRETT,1
LANDSLIDE,5
LANDSLIDE II/LEE BRO,24
"LANE, LOIS",77
"LANE, SILAS",20
"LANG, ALLISON",2
"LANG, CASSANDRA CASS",146
"LANG, DR. STEVEN",110
"LANG, TIMMY",9
"LANGFORD, DR. DAVID",3
"LANGSTROM, LIEUTENAN",40
"LANGTREE, GINA",4
"LANIEGE, BIANCA",30
LANN,22
"LANNING, DR.",4
"LANSING, CHERYL",15
"LAO-TSE, GEN.",5
"LAPIN, EMIL",33
"LARGO, CHIEF",49
"LARROCA, SALVADORE",7
LASHER/,24
"LATHAM, JORGE",7
"LAU, KING",14
"LAVEAU, MARIE",44
"LAVENDER, MAXINE",19
LAYLA,8
"LE FEY, MORGAN",212
LEAD-IN,11
LEADER/SAM STERNS,340
LEAP FROG/LANG,5
LEAP-FROG/VINCENT PA,78
"LEASH, MICAH",6
LEATHER/,1
"LEBEAU, JACQUE",26
"LEBEAU, JEAN-LUC",56
"LEBEAU, MERCY",60
"LECLAIRE, PROFESSOR ",18
"LEE, LITTLE LARRY",4
"LEE, STAN",120
"LEEBRE, VEEDA",8
LEECH,398
"LEEDS, BETTY BRANT",1274
"LEEDS, NED",392
LEESHA,3
"LEFLER, BOB",1
LEFT HAND/DIEGO CASS,112
LEFT-WINGER/HECTOR L,34
LEGAULT,25
LEGION,2
LEGION II/DAVID HALL,263
LEGS II/,10
LEGS/,7
"LEI KUNG, THE THUNDE",51
"LEIGHTON, BRIAN",1
LEIR,50
"LELAND, HARRY",74
"LENO, JAY",7
LEO II/,18
LEO/DANIEL RADFORD,74
"LEONARD, DR.",8
LEONINUS,4
LEONUS/LIONUS [INHUM,108
"LEOPOLD, ARCHER",3
"LEQUARRE, GERRY",23
"LESTRADE, DR.",4
LETHA,34
"LETTERMAN, DAVID",4
LEVAN,35
"LEVESSEUR, LARENT",8
LEVIATHAN,6
LEVIATHAN II/EDWARD ,14
LEVIATHAN IV,17
LEVIATHAN V,1
LEVIATHAN VI,1
"LEVIN, MAJOR DEBRA",32
"LEVINE, ABBY",11
LEVITICUS,4
"LEWIS, DET. GARON",16
"LEWIS, DEVON",111
"LEWIS, SHIRLEY WASHI",158
LIBERATOR/PRINCE TRI,35
LIBERTY GIRL/BEV,18
LIBRA III/,3
LIBRA IV/,4
LIBRA/GUSTAV BRANDT,168
LIBRITO,16
LICH,31
LIFEFORCE,54
LIFELINE/DEACON,9
