hero1,value
BAMBI,62
"BANCROFT, MARTINE",25
BANDIT/,17
"BANK, IRVING",1
"BANKS, SHARON",43
"BANNER, BETTY ROSS T",963
"BANNERJEE, DR.",7
"BANNON, LANCE",204
BANSHEE 2013,13
BANSHEE II,46
BANSHEE/SEAN CASSIDY,1388
BANTAM/,37
"BANTOCK, LT. OLIVER",8
"BAPTISTE, TANTE MATT",5
BARAK,7
"BARBAROSSA, MARIO",11
"BARBAROSSA, VINNIE",12
BARBARUS,94
BARIUM,15
BARKER,8
"BARKER, MATTHEW T.",4
BARNACLE/,36
"BARNETT, MIKE",9
BARON BLOOD II/VICTO,57
BARON BLOOD/JOHN FAL,56
BARON BRIMSTONE/,11
BARON MACABRE/,8
BARON MORDO/KARL MOR,143
BARON STRUCKER/WOLFG,250
BARON ZEBEK,3
BARONESS ZEMO/HEIKE,18
BARRACUDA/,6
BARRAGE,34
"BARRANCO, MARIA ESME",5
"BARRENOS, OMAR",13
BARRIER/,7
BARRINGTON,4
"BARRON, RICK",5
"BARROWS, WALTER",8
"BARTLETT, STU",7
"BARTON, SEN.",2
BARTOS,16
BASALLO/LAVA MEN KIN,19
BASALTAR,1
BASILISK II,9
BASILISK III/,7
BASILISK/BASIL ELKS,15
BATAL/,7
BATROC/GEORGES BATRO,196
BATTERING RAM,5
BATTERY/,13
"BATTLE, MONTGOMERY",4
BATTLEAXE II/JEROME ,19
BATTLEAXE/,46
BATTLESTAR/LEMAR HOS,186
BATWING/,11
BAV-TEK,4
BAXTER,4
"BAXTER, ABIGAIL",6
"BAXTER, NOAH",32
"BAYLOR, FRANK",2
BAYMAX,19
"BAZIN, ALLEGRA",31
"BAZIN, ANDREW",26
"BAZIN, BRODERICK RIC",32
"BAZIN, PHILLIPPE",31
"BEACH, GINGER",48
"BEACH, SPIDER",39
"BEALE, ERIC",14
BEAR/,7
BEAST 2013,6
BEAST DOPPELGANGER,9
BEAST DOPPELGANGER I,93
BEAST/HENRY &HANK& P,4628
"BEAUMONT, SPENCER",14
BEAUTIFUL DREAMER,36
BEAUTIFUL DREAMER II,15
BEAUTY,99
"BECKFORD, NOEL",1
"BECKMAN, CHARLES",4
"BECKMAN, JOSEPH",1
"BECKMAN, LISA",3
"BECKMAN, SARAH",2
"BEDFORD, BRAD HULK",2
BEDLAM II/OLISA KABA,59
BEDLAM/JESSE AARONSO,182
BEEF/,32
BEEFER,54
"BEERE, JASON",5
BEETLE II/LEILA DAVI,72
BEETLE ROBOT,38
BEETLE/ABNER RONALD ,780
BEHEMOTH,21
"BEL-DANN, GEN.",36
BELASCO,50
BELDAME,22
"BELGRADE, DR. HORATI",18
BELIAL,12
"BELL, HERBERT",3
BELLADONNA,7
BELLAM,48
BELLE,3
BENAZA,1
BENCHLEY,7
"BENDIX, DR. ALBERT",10
BENEDICT,38
BENGAL/,41
"BENJAMIN, BYRON",23
"BENNETT, DANNY",1
"BENNETT, MITCH",2
"BENNING, VERONICA",24
"BENNY, JAKE",5
"BENTLEY, MILES",22
"BENTLEY, VICTORIA",60
"BENTON, TERRY",14
"BENWAY, DR.",5
"BERDITCHEV, ITZHAK",5
BEREET,53
"BERENGHETTI, MICHAEL",20
"BERENGHETTI, SUSAN",11
"BERGER, PROF.",33
"BERGIER, REBECCA",40
"BERGLUND, GEN.",7
"BERKELEY, TRAVIS",17
"BERMAN, ADAM",1
BERNARD THE POET,21
"BERNHARD, CLARICE",4
BERNIE,16
"BERNSTEIN, DR. NOAH",46
"BERNSTEIN, EMMA WEBS",11
BERSERKER,6
BERSERKER III,3
BERTRAM,9
BERYL,26
BERYLLIUM,17
BETA RAY BILL,329
BETA RAY BILL | MUTA,40
BETTY-6,37
BEVATRON/,33
"BEYNON, DR. BRADLEY",2
BEYONDER,324
BEYONDER | MUTANT X-,53
BI-BEAST,1
BI-BEAST II,47
BIANDU,8
BIG BEN/,31
BIG BERTHA/ASHLEY CR,103
BIG CASINO/,21
BIG MAN/FREDERICK FO,90
BIG ONE/KENJIRO SASA,33
"BIGGERS, MELVIN",2
BILE/,55
"BILLUPS, AGENT",32
BINARY | MUTANT X-VE,13
BINARY/CAROL DANVERS,1204
BIOHAZARD,15
BIOHAZARD II/FLETCHE,2
BIRD MAN III/,31
BIRD MAN/HENRY HAWK,75
"BIRD, TUESDAY",2
BIRDBRAIN,30
BIRDY,17
BISHOP /,813
BISON/BILLY KITSON,107
BITMAP/,12
BIZEN,3
BLACK AVENGER/JERRY ,7
BLACK BOLT | MUTANT ,17
BLACK BOLT/BLACKANTO,1116
